day,boxoffice($)
1,29631453
2,63845256
3,88357488
4,93678789
5,98421061
6,102453546
7,106131568
8,117138823
9,135845151
10,148358831
11,150920102
12,154408081
13,160822000
14,168041516
15,181419676
16,193446308
17,200159012
18,201207172
19,202160354
20,202997203
21,203884698
22,206478449
23,211116578
24,213970962
25,214533188
26,215161380
27,215740821
28,216294988
29,217723188
30,220610665
31,222619375
32,223066343
33,223573786
34,224006940
35,224450272
36,225454018
37,227163586
38,228821682
39,230158075
40,231000499
41,231950777
42,233833266
43,236014651
44,238246913
45,240307533
46,242129704
47,243867371
48,245996312
49,247444556
50,248875790
51,250741823
52,252097945
53,252390263
54,252636341
55,252843617
56,253040825
57,253490940
58,254593196
59,255449301
60,255576566
61,255730901
62,255856763
63,255993116
64,255993116
65,256870249
66,257405375
67,257897677
68,257976889
69,258044347
70,258119640
71,258255448
72,258642000
73,258898102
74,258968210
75,259018343
76,259065521
77,259119624
78,259202081
79,259437310
80,259626842
81,259647175
82,259670518
83,259694253
84,259720120
85,259764578
86,259902545
87,260023267
88,260042432
89,260057951
90,260074110
91,260087936
92,260150490
93,260291741
94,260416152
95,260492052
96,260524245
97,260552995
98,260581103
99,260641283
100,260759681
101,260839888
102,260855311
103,260870621
104,260885761
105,260901621
106,260950376
107,261049620
108,261123736
109,261142213
110,261158131
111,261173905
112,261190950
113,261233262
114,261309243
115,261370976
116,261393096
117,261418257
118,261442745
119,261466852
120,261500126
121,261553113
122,261588213
123,261600000
124,261613781
125,261624972
126,261637574
127,261660006
128,261700188
129,261724299
130,261732657
131,261742099
132,261751196
133,261761716
134,261779489
135,261812629
136,261835892
137,261843145
138,261849781
139,261855995
140,261862955
141,261876864
142,261906514
143,261924727
144,261930121
145,261936912
146,261942505
147,261948750
148,261954603
149,261964006
150,261970615
151,261972509
152,261974895
153,261977124
154,261979634
155,261981386
156,261983001
157,261983944
158,261984527
159,261985021
160,261985421
161,261985421
162,261986049
163,261987395
164,261987880
165,261987992
166,261988109
167,261988227
168,261988325
169,261988405
170,261988464
17,261988482
