day,boxoffice
1,41148961
2,78240091
3,110307189
4,125913275
5,141036487
6,154495178
7,167551682
8,185502325
9,208092816
10,226889351
11,235811275
12,244029214
13,251344663
14,258826169
15,269363263
16,280796714
17,289106193
18,301883298
19,307822780
20,313077846
21,318224899
22,324706852
23,333652199
24,339240857
25,342040500
27,348453463
28,350967102
29,354467692
30,359226345
31,362965378
32,364856662
33,366920787
34,368682193
35,370499039
36,373124538
37,376699175
38,379416551
39,380588257
40,381967103
41,383281846
42,384638584
43,386090760
44,388095185
45,389761491
46,390606539
47,391571177
48,392435416
49,393268254
50,394146086
51,395357723
52,396387342
53,396924616
54,397518546
55,398033383
56,398602095
57,399220705
58,400063178
59,400824826
60,401215022
61,401584353
62,401948454
63,402280518
64,402649243
65,403234809
66,403803642
67,404033760
68,404276620
69,404488263
70,404648511
71,404915312
72,405342435
73,405659221
74,405781941
75,405931112
76,406040342
77,406155373
78,406575067
79,407339295
80,408100174
81,408890408
82,409000331
83,409091091
84,409214041
85,409366512
86,409708660
87,409976037
88,410019427
89,410070154
90,410115979
91,410171027
